杰庞顿,젯판돈
芝庞顿,젯판돈
玛伽八岐大蛇,마가타노오로치
玛伽大蛇,마가오로치
美菲拉斯,메피라스
雷奥尼克斯,레이오닉스
雷布朗多星人,레이블러드성인
雷布拉德星人,레이블러드성인
塔尔塔洛斯,타르타로스
赛雷布洛,세레브로
盖内伽古,게네가그
奥特人造机甲赛罗,울트로이드 제로
雷德王,레드킹
哥莫拉,고모라
达达,다다
杰顿,젯톤
庞敦,판돈
黑暗洛普斯,다크롭스
艾雷王,에레킹
金古桥,킹죠
赛文加,세븐가
佩丹尼姆,페다니움
布莱克王,블랙킹
布鲁顿,불톤
巴巴尔星人,바바루우성인
巴罗萨星人,바롯사성인
格利扎,그리자
贝蒙斯坦,벰스타
梅特龙星人,메트론성인
马格马星人,마그마성인
布莱克指挥官,블랙커맨더
圆盘生物诺瓦,원반생물 노바
巴顿,바돈
亚波人,야풀
,
哥美斯,고메스
内隆嘎,네론가
齐卡斯,기가스
佩吉拉,페기라
斯特鲁姆星人,스토룸성인
匹特星人,피트성인
,
拉比德古,래비독
雷基尼斯,레키네스
特莱加隆,트라이가론
瓦尔杰内斯,발제네스
